Block Name,Cell ID,vtkOriginalCellIds,Cell Type,Ma,T,U_0,U_1,U_2,U_Magnitude,p
internalMesh,2713,2713,12,1.43849,1.98657,2.02717,0.0351615,0,2.02747,4.0384
internalMesh,2714,2714,12,1.44522,1.98128,2.03387,0.0398272,0,2.03426,3.99799
internalMesh,2715,2715,12,1.45195,1.97603,2.04054,0.044241,0,2.04102,3.95758
internalMesh,2716,2716,12,1.45866,1.97083,2.04718,0.048394,0,2.04775,3.91729
internalMesh,2717,2717,12,1.46539,1.96552,2.05376,0.0522792,0,2.05443,3.87723
internalMesh,2718,2718,12,1.47201,1.96039,2.06026,0.0558827,0,2.06102,3.83752
internalMesh,2719,2719,12,1.47866,1.95508,2.06667,0.0591909,0,2.06752,3.79831
internalMesh,2720,2720,12,1.48514,1.95003,2.07297,0.0621829,0,2.0739,3.75971
internalMesh,2721,2721,12,1.4916,1.94483,2.07913,0.0648357,0,2.08014,3.7219
internalMesh,2722,2722,12,1.49783,1.93995,2.08512,0.0671189,0,2.0862,3.68503
internalMesh,2723,2723,12,1.50396,1.93498,2.09092,0.0689958,0,2.09206,3.64931
internalMesh,2724,2724,12,1.50977,1.93044,2.09649,0.070424,0,2.09767,3.61495
internalMesh,2725,2725,12,1.51541,1.92582,2.10178,0.0713426,0,2.10299,3.58221
internalMesh,2726,2726,12,1.5206,1.92181,2.10678,0.0717142,0,2.108,3.55144
internalMesh,2727,2727,12,1.5256,1.91769,2.11145,0.0715107,0,2.11266,3.52244
internalMesh,2728,2728,12,1.53001,1.9143,2.11572,0.070612,0,2.1169,3.49591
internalMesh,2729,2729,12,1.53404,1.91101,2.11952,0.0689446,0,2.12064,3.47219
internalMesh,2730,2730,12,1.53736,1.9085,2.1228,0.0664224,0,2.12384,3.45163
internalMesh,2731,2731,12,1.54013,1.90626,2.12548,0.062954,0,2.12641,3.43462
internalMesh,2732,2732,12,1.54205,1.90492,2.12752,0.0584476,0,2.12832,3.42155
internalMesh,2733,2733,12,1.54331,1.90396,2.12886,0.0528503,0,2.12952,3.41274
internalMesh,2734,2734,12,1.54361,1.90402,2.12947,0.0461829,0,2.12997,3.40831
